OrderID,OrderDate,Product,Category,Region,CustomerType,Quantity,UnitPrice,PaymentMethod,TotalPrice,Month
2001,2024-03-01,Wireless Mouse,Electronics,North,New,3.0,15.99,Card,47.97,2024-03
2002,2024-03-02,Office Chair,Furniture,South,Returning,1.0,89.99,UPI,89.99,2024-03
2003,2024-03-03,Notebook Set,Stationery,North,New,12.0,4.5,Card,54.0,2024-03
2004,2024-03-04,Desk Lamp,Furniture,East,Returning,2.0,22.5,Cash,45.0,2024-03
2005,2024-03-05,Bluetooth Speaker,Electronics,West,New,3.0,45.0,Card,135.0,2024-03
2006,2024-03-06,Wireless Mouse,Electronics,South,Returning,4.0,15.99,UPI,63.96,2024-03
2007,2024-03-07,Office Chair,Furniture,North,New,1.0,89.99,Card,89.99,2024-03
2008,2024-03-08,Notebook Set,Stationery,East,Returning,10.0,4.5,Cash,45.0,2024-03
2009,2024-03-09,Desk Lamp,Furniture,West,New,3.0,22.5,Card,67.5,2024-03
2010,2024-03-10,Bluetooth Speaker,Electronics,North,Returning,2.0,45.0,UPI,90.0,2024-03
2011,2024-03-11,Wireless Mouse,Electronics,East,New,5.0,15.99,Card,79.95,2024-03
2012,2024-03-12,Office Chair,Furniture,South,Returning,2.0,89.99,Cash,179.98,2024-03
2013,2024-03-13,Notebook Set,Stationery,West,New,8.0,4.5,Card,36.0,2024-03
2014,2024-03-14,Desk Lamp,Furniture,North,Returning,3.0,22.5,UPI,67.5,2024-03
2015,2024-03-15,Bluetooth Speaker,Electronics,South,New,1.0,45.0,Card,45.0,2024-03
2016,2024-03-16,Wireless Mouse,Electronics,West,Returning,6.0,15.99,Cash,95.94,2024-03
2017,2024-03-17,Office Chair,Furniture,East,New,1.0,89.99,Card,89.99,2024-03
2018,2024-03-18,Notebook Set,Stationery,North,Returning,15.0,4.5,UPI,67.5,2024-03
2019,2024-03-19,Desk Lamp,Furniture,South,New,4.0,22.5,Card,90.0,2024-03
2020,2024-03-20,Bluetooth Speaker,Electronics,East,Returning,3.0,45.0,Cash,135.0,2024-03
2021,2024-03-21,Wireless Mouse,Electronics,North,New,2.0,15.99,Card,31.98,2024-03
2022,2024-03-22,Office Chair,Furniture,West,Returning,1.0,89.99,UPI,89.99,2024-03
2023,2024-03-23,Notebook Set,Stationery,South,New,9.0,4.5,Card,40.5,2024-03
2024,2024-03-24,Desk Lamp,Furniture,East,Returning,3.0,22.5,Cash,67.5,2024-03
